sex	age	perceivedWeight	height	weight
Female	18	Slightly overweight	170.18	68.0388
Male	17	About the right weight	170.18	63.50288
Female	16	Slightly underweight	170.18	45.3592
Female	18	Slightly overweight	157.48	83.91452
Male	17	Slightly overweight	167.64	65.77084
Female	17	Slightly overweight	157.48	63.50288
Male	16	Slightly overweight	175.26	83.007336
Female	18	Slightly overweight	172.72	63.50288
Male	17	About the right weight	180.34	79.3786
Male	15	Slightly underweight	167.64	48.987936
Female	17	About the right weight	162.56	55.791816
Male	18	Slightly overweight	167.64	97.52228
Male	15	About the right weight	157.48	58.059776
Female	17	About the right weight	149.86	41.276872
Male	17	Slightly underweight	185.42	89.811216
Female	18	Slightly overweight	149.86	79.3786
Male	17	Slightly underweight	170.18	65.77084
Male	15	About the right weight	162.56	53.523856
Male	19	Slightly underweight	180.34	68.0388
Male	17	About the right weight	180.34	56.699
Male	17	About the right weight	175.26	81.64656
Female	16	Slightly underweight	149.86	42.637648
Male	15	Slightly underweight	187.96	72.57472
Female	16	Slightly overweight	160.02	86.18248
Male	19	About the right weight	165.1	65.77084
Male	18	About the right weight	175.26	72.57472
Female	16	About the right weight	167.64	58.96696
Female	17	About the right weight	160.02	54.43104
Male	17	Very underweight	165.1	56.699
Female	18	About the right weight	172.72	56.245408
Female	18	About the right weight	162.56	61.23492
Female	15	About the right weight	162.56	44.452016
Male	16	Slightly overweight	167.64	68.0388
Female	19	Slightly overweight	170.18	72.57472
Female	18	About the right weight	170.18	63.50288
Male	19	About the right weight	180.34	77.11064
Female	16	Slightly overweight	152.4	49.441528
Male	16	Slightly overweight	172.72	77.11064
Female	18	About the right weight	160.02	74.84268
Male	18	About the right weight	170.18	66.678024
Female	16	About the right weight	160.02	49.89512
Male	15	Slightly underweight	172.72	72.57472
Female	17	Slightly overweight	152.4	56.699
Female	16	Slightly overweight	167.64	64.410064
Female	17	About the right weight	165.1	69.853168
Female	16	About the right weight	157.48	53.977448
Male	19	About the right weight	165.1	61.23492
Male	16	Slightly overweight	175.26	88.45044
Female	15	About the right weight	160.02	49.89512
Female	15	Slightly overweight	160.02	63.50288
Female	18	Very overweight	162.56	99.336648
Female	17	About the right weight	167.64	61.23492
Male	17	About the right weight	167.64	63.50288
Male	16	About the right weight	172.72	61.23492
Female	18	Very overweight	172.72	-0.453592
Male	15	About the right weight	162.56	45.3592
Female	16	About the right weight	157.48	61.23492
Male	19	About the right weight	187.96	90.7184
Female	15	Slightly underweight	160.02	68.0388
Male	19	About the right weight	175.26	73.935496
Male	15	About the right weight	180.34	52.616672
Male	19	About the right weight	172.72	65.77084
Male	19	About the right weight	180.34	63.50288
Male	18	About the right weight	172.72	56.699
Female	18	Slightly overweight	167.64	58.96696
Male	17	About the right weight	182.88	71.213944
Male	20	Slightly overweight	172.72	90.7184
Female	17	About the right weight	154.94	49.89512
Male	15	Slightly overweight	162.56	74.84268
Male	16	About the right weight	177.8	52.16308
Male	17	About the right weight	170.18	69.399576
Male	17	About the right weight	165.1	61.23492
Female	14	About the right weight	157.48	52.616672
Female	18	Slightly underweight	160.02	55.338224
Male	15	About the right weight	167.64	58.96696
Male	18	Slightly underweight	185.42	81.64656
Female	15	About the right weight	167.64	49.89512
Male	15	Slightly overweight	175.26	86.18248
Male	18	About the right weight	172.72	72.57472
Female	15	About the right weight	157.48	52.16308
Male	15	Slightly overweight	167.64	58.96696
Female	19	About the right weight	162.56	49.89512
Male	15	Slightly overweight	177.8	68.0388
Male	18	Slightly underweight	182.88	83.91452
Male	17	About the right weight	177.8	79.3786
Male	18	Slightly overweight	167.64	90.7184
Female	17	Slightly overweight	172.72	81.64656
Male	16	About the right weight	157.48	61.23492
Male	16	Very underweight	160.02	54.43104
Female	19	About the right weight	160.02	60.781328
Male	17	About the right weight	182.88	83.91452
Male	19	Slightly underweight	182.88	72.57472
Male	17	Slightly underweight	172.72	72.57472
Female	18	Slightly overweight	165.1	64.863656
Female	18	Slightly overweight	172.72	81.64656
Female	17	Very overweight	165.1	58.96696
Female	16	Slightly overweight	165.1	90.7184
Female	19	Slightly overweight	165.1	88.45044
Male	16	About the right weight	167.64	72.57472
Male	18	Slightly overweight	177.8	88.45044
Female	17	About the right weight	160.02	54.43104
Male	15	About the right weight	175.26	54.43104
Female	17	About the right weight	162.56	49.89512
Female	15	About the right weight	170.18	63.50288
Female	18	Slightly underweight	167.64	47.173568
Female	15	About the right weight	160.02	56.699
Male	15	Slightly underweight	180.34	63.50288
Female	17	Slightly overweight	172.72	86.18248
Female	15	About the right weight	165.1	56.699
Male	15	About the right weight	167.64	56.699
Male	15	About the right weight	162.56	56.699
Male	17	Very overweight	182.88	111.13004
Male	15	Slightly overweight	187.96	106.59412
Female	15	Slightly overweight	157.48	58.96696
Male	18	Slightly underweight	172.72	61.23492
Female	17	About the right weight	157.48	54.43104
Female	17	Slightly overweight	160.02	70.30676
Female	19	Slightly overweight	165.1	58.96696
Female	18	Slightly overweight	162.56	58.96696
Male	19	Slightly overweight	187.96	90.7184
Male	16	Slightly underweight	177.8	65.77084
Male	17	Slightly overweight	172.72	63.50288
Male	15	Slightly underweight	175.26	61.23492
Female	16	Slightly overweight	154.94	56.245408
Female	19	About the right weight	167.64	56.699
Male	15	Slightly overweight	193.04	97.975872
Female	15	About the right weight	167.64	54.43104
Female	20	Slightly underweight	157.48	46.719976
Female	18	Slightly overweight	165.1	73.481904
Male	18	About the right weight	175.26	74.84268
Male	17	About the right weight	185.42	74.389088
Male	15	About the right weight	177.8	69.399576
Male	15	About the right weight	190.5	78.017824
Female	15	About the right weight	147.32	46.719976
Female	17	About the right weight	160.02	61.23492
Female	16	Slightly overweight	172.72	72.57472
Male	15	About the right weight	175.26	63.956472
Female	18	About the right weight	170.18	65.77084
Male	17	About the right weight	172.72	67.131616
Female	19	Slightly overweight	170.18	81.64656
Male	19	Slightly underweight	177.8	68.0388
Male	17	About the right weight	177.8	72.57472
Female	17	Very overweight	152.4	77.11064
Male	14	About the right weight	177.8	95.25432
Female	20	Very overweight	167.64	79.3786
Female	19	About the right weight	162.56	58.96696
Male	17	Slightly underweight	182.88	78.017824
Female	18	Slightly underweight	162.56	48.987936
Male	19	About the right weight	182.88	86.18248
Female	17	Slightly overweight	167.64	64.410064
Male	15	Very overweight	175.26	106.59412
Male	18	Slightly underweight	182.88	65.77084
Female	16	Very overweight	167.64	-0.907184
Female	15	Very overweight	177.8	-0.907184
Female	15	About the right weight	162.56	49.89512
Male	17	About the right weight	177.8	88.904032
Female	18	About the right weight	165.1	53.523856
Male	17	Slightly overweight	182.88	90.7184
Female	19	Slightly overweight	154.94	65.77084
Female	19	About the right weight	160.02	49.89512
Female	18	Slightly underweight	165.1	52.16308
Male	16	Slightly overweight	177.8	77.11064
Female	17	Slightly overweight	167.64	72.57472
Female	15	About the right weight	157.48	55.791816
Female	18	Slightly overweight	165.1	61.23492
Male	15	About the right weight	172.72	63.50288
Male	18	About the right weight	165.1	72.57472
Female	16	Slightly overweight	152.4	68.0388
Male	16	About the right weight	182.88	76.203456
