year	month	data-type	region	extent	area	time
1978	11	Goddard	N	11.65	9.04	1978.875
1978	11	Goddard	S	15.9	11.69	1978.875
1978	12	Goddard	N	13.67	10.9	1978.95833333333
1978	12	Goddard	S	10.4	6.97	1978.95833333333
1979	1	Goddard	N	15.41	12.41	1979.04166666667
1979	1	Goddard	S	5.4	3.47	1979.04166666667
1979	2	Goddard	N	16.18	13.18	1979.125
1979	2	Goddard	S	3.14	2.11	1979.125
1979	3	Goddard	N	16.34	13.21	1979.20833333333
1979	3	Goddard	S	4	2.66	1979.20833333333
1979	4	Goddard	N	15.45	12.53	1979.29166666667
1979	4	Goddard	S	7.49	5.45	1979.29166666667
1979	5	Goddard	N	13.86	11.11	1979.375
1979	5	Goddard	S	10.83	8.3	1979.375
1979	6	Goddard	N	12.53	9.34	1979.45833333333
1979	6	Goddard	S	14.19	11.22	1979.45833333333
1979	7	Goddard	N	10.31	6.69	1979.54166666667
1979	7	Goddard	S	16.52	13.26	1979.54166666667
1979	8	Goddard	N	8.04	5.06	1979.625
1979	8	Goddard	S	17.7	13.79	1979.625
1979	9	Goddard	N	7.05	4.58	1979.70833333333
1979	9	Goddard	S	18.2	14.29	1979.70833333333
1979	10	Goddard	N	8.75	6.19	1979.79166666667
1979	10	Goddard	S	17.82	13.72	1979.79166666667
1979	11	Goddard	N	10.94	8.37	1979.875
1979	11	Goddard	S	15.34	11.32	1979.875
1979	12	Goddard	N	13.34	10.63	1979.95833333333
1979	12	Goddard	S	9.24	6.24	1979.95833333333
1980	1	Goddard	N	14.86	11.94	1980.04166666667
1980	1	Goddard	S	4.56	3.08	1980.04166666667
1980	2	Goddard	N	15.96	12.9	1980.125
1980	2	Goddard	S	2.82	1.85	1980.125
1980	3	Goddard	N	16.04	12.99	1980.20833333333
1980	3	Goddard	S	3.29	2.11	1980.20833333333
1980	4	Goddard	N	15.43	12.52	1980.29166666667
1980	4	Goddard	S	5.4	3.68	1980.29166666667
1980	5	Goddard	N	13.79	10.96	1980.375
1980	5	Goddard	S	8.86	6.44	1980.375
1980	6	Goddard	N	12.2	9	1980.45833333333
1980	6	Goddard	S	12.49	9.58	1980.45833333333
1980	7	Goddard	N	10.1	6.53	1980.54166666667
1980	7	Goddard	S	15.56	12.18	1980.54166666667
1980	8	Goddard	N	7.98	4.94	1980.625
1980	8	Goddard	S	17.81	13.96	1980.625
1980	9	Goddard	N	7.67	4.87	1980.70833333333
1980	9	Goddard	S	18.82	14.87	1980.70833333333
1980	10	Goddard	N	9.18	6.5	1980.79166666667
1980	10	Goddard	S	18.57	14.57	1980.79166666667
1980	11	Goddard	N	11.38	8.73	1980.875
1980	11	Goddard	S	16.13	11.84	1980.875
1980	12	Goddard	N	13.59	10.78	1980.95833333333
1980	12	Goddard	S	10.16	6.56	1980.95833333333
1981	1	Goddard	N	14.91	11.91	1981.04166666667
1981	1	Goddard	S	4.41	2.84	1981.04166666667
1981	2	Goddard	N	15.6	12.53	1981.125
1981	2	Goddard	S	2.87	1.74	1981.125
1981	3	Goddard	N	15.63	12.71	1981.20833333333
1981	3	Goddard	S	3.39	2.16	1981.20833333333
1981	4	Goddard	N	15.01	12.24	1981.29166666667
1981	4	Goddard	S	5.84	4.07	1981.29166666667
1981	5	Goddard	N	13.8	10.99	1981.375
1981	5	Goddard	S	9.35	7.08	1981.375
1981	6	Goddard	N	12.43	9.03	1981.45833333333
1981	6	Goddard	S	13.11	10.16	1981.45833333333
1981	7	Goddard	N	10.27	6.31	1981.54166666667
1981	7	Goddard	S	16.04	12.78	1981.54166666667
1981	8	Goddard	N	7.84	4.48	1981.625
1981	8	Goddard	S	17.74	14.16	1981.625
1981	9	Goddard	N	7.14	4.44	1981.70833333333
1981	9	Goddard	S	18.6	14.78	1981.70833333333
1981	10	Goddard	N	8.86	6.27	1981.79166666667
1981	10	Goddard	S	18.29	14.43	1981.79166666667
1981	11	Goddard	N	10.93	8.31	1981.875
1981	11	Goddard	S	16.11	12.07	1981.875
1981	12	Goddard	N	13.34	10.54	1981.95833333333
1981	12	Goddard	S	10.89	7.02	1981.95833333333
1982	1	Goddard	N	15.18	12.19	1982.04166666667
1982	1	Goddard	S	5.26	3.25	1982.04166666667
1982	2	Goddard	N	15.97	12.87	1982.125
1982	2	Goddard	S	3.13	1.86	1982.125
1982	3	Goddard	N	16.04	13.07	1982.20833333333
1982	3	Goddard	S	4.29	2.84	1982.20833333333
1982	4	Goddard	N	15.47	12.63	1982.29166666667
1982	4	Goddard	S	7.72	5.79	1982.29166666667
1982	5	Goddard	N	13.97	11.17	1982.375
1982	5	Goddard	S	10.76	8.27	1982.375
1982	6	Goddard	N	12.48	9.46	1982.45833333333
1982	6	Goddard	S	13.42	10.5	1982.45833333333
1982	7	Goddard	N	10.37	6.87	1982.54166666667
1982	7	Goddard	S	15.87	12.47	1982.54166666667
1982	8	Goddard	N	8.14	5	1982.625
1982	8	Goddard	S	17.79	14.28	1982.625
1982	9	Goddard	N	7.3	4.43	1982.70833333333
1982	9	Goddard	S	18.35	14.53	1982.70833333333
1982	10	Goddard	N	9.42	6.67	1982.79166666667
1982	10	Goddard	S	17.79	13.74	1982.79166666667
1982	11	Goddard	N	11.63	9.06	1982.875
1982	11	Goddard	S	15.54	11.27	1982.875
1982	12	Goddard	N	13.64	10.88	1982.95833333333
1982	12	Goddard	S	9.22	6.31	1982.95833333333
1983	1	Goddard	N	14.94	12.01	1983.04166666667
1983	1	Goddard	S	4.77	3.21	1983.04166666667
1983	2	Goddard	N	16.01	12.94	1983.125
1983	2	Goddard	S	3.07	1.91	1983.125
1983	3	Goddard	N	16.09	12.93	1983.20833333333
1983	3	Goddard	S	4.02	2.62	1983.20833333333
1983	4	Goddard	N	15.17	12.21	1983.29166666667
1983	4	Goddard	S	6.47	4.7	1983.29166666667
1983	5	Goddard	N	13.49	10.87	1983.375
1983	5	Goddard	S	9.53	7.16	1983.375
1983	6	Goddard	N	12.3	9.27	1983.45833333333
1983	6	Goddard	S	12.64	9.77	1983.45833333333
1983	7	Goddard	N	10.57	6.86	1983.54166666667
1983	7	Goddard	S	15.47	12.37	1983.54166666667
1983	8	Goddard	N	8.19	4.97	1983.625
1983	8	Goddard	S	17.25	13.84	1983.625
1983	9	Goddard	N	7.39	4.7	1983.70833333333
1983	9	Goddard	S	18.59	14.68	1983.70833333333
1983	10	Goddard	N	9.33	6.79	1983.79166666667
1983	10	Goddard	S	17.92	13.92	1983.79166666667
1983	11	Goddard	N	11.46	8.99	1983.875
1983	11	Goddard	S	16.01	11.57	1983.875
1983	12	Goddard	N	13.3	10.63	1983.95833333333
1983	12	Goddard	S	10.39	6.71	1983.95833333333
1984	1	Goddard	N	14.47	11.68	1984.04166666667
1984	1	Goddard	S	4.78	2.93	1984.04166666667
1984	2	Goddard	N	15.3	12.26	1984.125
1984	2	Goddard	S	2.68	1.75	1984.125
1984	3	Goddard	N	15.58	12.55	1984.20833333333
1984	3	Goddard	S	3.61	2.34	1984.20833333333
1984	4	Goddard	N	15.01	12.18	1984.29166666667
1984	4	Goddard	S	6.42	4.53	1984.29166666667
1984	5	Goddard	N	13.58	10.88	1984.375
1984	5	Goddard	S	9.75	7.41	1984.375
