lon,lat,imgUrl,collector,pkm,location,env
-122.3053300,47.6559864,pkm1_capers,caperscrew,Starly,Walkway,built
-122.3054115,47.6561312,pkm2_capers,caperscrew,Tauros,Walkway,built
-122.3051430,47.6561405,pkm3_capers,caperscrew,Snobull,Ground,built
-122.3052972,47.6561786,pkm4_capers,caperscrew,Totodile,Walkway,built
-122.3048275,47.6564819,pkm5_capers,caperscrew,Muna,Ground,built
-122.3048637,47.6561215,pkm6_capers,caperscrew,Starly,Walkway ,built
-122.3049153,47.6567943,pkm7_capers,caperscrew,Rhyhorn,Ground,built
-122.3049519,47.6570279,pkm8_capers,caperscrew,Glameow,Ground,built
-122.3048462,47.6572922,pkm9_capers,caperscrew,Qwilfish,Ground,built
-122.3051537,47.6573442,pkm10_capers,caperscrew,Sentret,Grass,nature
-122.3100000,47.6500000,pkm1_Ho,RawDoggers,fletchling,Ground,built
-122.3100000,47.6700000,pkm2_Ho,RawDoggers,Stantler,Red Square,built
-122.3100000,47.6600000,pkm3_Ho,RawDoggers,Cyndaquil,Red Square,built 
-122.3058921,47.6563227,imageAu22/pkm1_Yu.jpeg,Allen Yu,Ekans,ground,built
-122.3058921,47.6559102,imageAu22/pkm2_Yu.jpeg,Allen Yu,Totodile,ground,built
-122.3058921,47.6560019,imageAu22/pkm3_Yu.jpeg,Allen Yu,Machop,grass,nature
-122.3058071,47.6560077,imageAu22/pkm5_tateishi.png,Sohshun Tateishi,Ekans,ground,built
-122.3058071,47.6560077,imageAu22/pkm4_tateishi.png,Sohshun Tateishi,Whismur,walkway,built
-122.3058071,47.6560077,imageAu22/pkm3_tateishi.png,Sohshun Tateishi,Castform,walkway,built
-122.3058071,47.6560077,imageAu22/pkm2_tateishi.png,Sohshun Tateishi,Starly,walkway,built
-122.3049256,47.6560077,imageAu22/pkm1_tateishi.png,Sohshun Tateishi,Machop,walkway,built
-122.3100000,47.6560077,imageAu22/pkm1_mayo.jpg,Christiansen Mayo,Charmander,ground,built
-122.3100000,47.6560077,imageAu22/pkm2_mayo.jpg,Christiansen Mayo,Starly,ground,built
-122.3000000,47.6560077,imageAu22/pkm3_mayo.jpg,Christiansen Mayo,Machop,ground,built
-122.3068750,47.6544820,imageAu22/pk1_sheynblat.png,ethan-sabrina,Totodile,walkway,built
-122.3072650,47.6540730,imageAu22/pk2_sheynblat.png,ethan-sabrina,Starly,walkway,built
-122.3071300,47.6541060,imageAu22/pk3_sheynblat.png,ethan-sabrina,Panpour,walkway,built
-122.3078340,47.6535160,imageAu22/pk4_fang.png,ethan-sabrina,Cyndaquil,walkway,built
-122.3078750,47.6541280,imageAu22/pk5_fang.png,ethan-sabrina,Grimer,walkway,built
-122.3083110,47.6545760,imageAu22/pk6_fang.png,ethan-sabrina,Magikarp,walkway,built
-122.1800000,47.3900000,imageAu22/pkm1_roy.jpg,roy-natalie,Fletching,walkway,built
-122.1800000,47.3900000,imageAu22/pkm2_roy.jpg,roy-natalie,Eevee,grass,nature
-122.1827000,47.3900000,imageAu22/pkm3_roy.jpg,roy-natalie,Stunky,grass,nature
-122.1831000,47.3922000,imageAu22/pkm1_ngo.jpg,ngo-hieu,Diglett,brick,built
-122.1831000,47.3923000,imageAu22/pkm2_ngo.jpg,ngo-hieu,Glameow,grass,nature
-122.1831000,47.3923000,imageAu22/pkm3_ngo.jpg,ngo-hieu,Qwilfish,walkway,built
-122.3070768,47.6569905,imageAu22/pkm3_clark,jelly,Bulbasaur,walkway,built
-122.3073179,47.6570031,imageAu22/pkm2_clark,jelly,Eevee,walkway,built
-122.3081578,47.6565759,imageAu22/pkm1_clark,jelly,Glameow,walkway,built
-122.3084518,47.6563995,imageAu22/pkm3_hu,jelly,Dunnsparce,walkway,built
-122.3095022,47.6560228,imageAu22/pkm2_hu,jelly,Pikachu,walkway,built
-122.3104219,47.6562920,imageAu22/pkm1_hu,jelly,Jigglypuff,walkway,built
-122.3050000,46.6560000,pkm1_Gurung.png,Nipesh Gurung,Ekans,walkway,nature
-122.3050000,46.6560000,pkm2_Gurung.png,Nipesh Gurung,Smeargle,walkway,nature
